Date,Open,High,Low,Close,Shares Traded,Turnover (? Cr)
########,11322.4,11357.6,11255.05,11301.8,3.73E+08,17602.86
########,11314.15,11345.8,11251.05,11278.9,3.87E+08,18085.19
########,11258.7,11300.2,11125.6,11148.2,3.58E+08,16722.91
########,11151.65,11294.75,11108.3,11222.05,3.98E+08,19906.38
########,11271.7,11286.8,11136.95,11157,4.14E+08,17931.75
########,11180.35,11281.55,11143.35,11257.1,3.51E+08,15629.57
########,11261.9,11426.15,11259.85,11407.15,4.12E+08,20177.63
########,11651.9,11845.2,11591.7,11828.25,4.52E+08,25223.78
########,11863.65,11883.55,11682.8,11709.1,3.81E+08,20324.67
########,11727.95,11784.8,11682.4,11737.9,3.56E+08,19582.41
########,11901.3,12041.15,11614.5,11657.05,5.69E+08,31180.08
########,11748,11859,11658.1,11844.1,3.75E+08,20028.49
########,11855.5,11957.15,11812.4,11924.75,3.48E+08,17735.36
########,11958.35,11958.55,11864.9,11928.75,5.98E+08,28833.54
########,11905.8,11931.9,11836.8,11861.1,3.18E+08,15985.92
########,11865.3,11968.55,11859.4,11945.9,4.21E+08,20261.85
########,11999.8,12039.25,11829.45,11922.8,4.39E+08,22789
3-Jun-19,11953.75,12103.05,11920.1,12088.55,3.15E+08,17451.36
4-Jun-19,12052.65,12095.2,12005.85,12021.65,2.89E+08,15308.28
6-Jun-19,12039.8,12039.8,11830.25,11843.75,4.15E+08,21144.77
7-Jun-19,11865.2,11897.5,11769.5,11870.65,3.02E+08,14939.4
10-Jun-19,11934.9,11975.05,11871.75,11922.7,3.03E+08,13125.41
11-Jun-19,11959.85,12000.35,11904.35,11965.6,3.32E+08,15392.28
12-Jun-19,11962.45,11962.45,11866.35,11906.2,2.84E+08,14120.17
13-Jun-19,11873.9,11931.35,11817.05,11914.05,4.48E+08,18680.91
14-Jun-19,11910.1,11911.85,11797.7,11823.3,3.90E+08,16226.57
17-Jun-19,11844,11844.05,11657.75,11672.15,2.96E+08,13851.67
18-Jun-19,11677.05,11727.2,11641.15,11691.5,3.66E+08,16120.69
19-Jun-19,11744.45,11802.5,11625.1,11691.45,4.47E+08,18722.71
20-Jun-19,11653.65,11843.5,11635.05,11831.75,4.42E+08,18839.11
21-Jun-19,11827.6,11827.95,11705.1,11724.1,4.68E+08,23346.13
24-Jun-19,11725.8,11754,11670.2,11699.65,2.78E+08,12631.38
25-Jun-19,11681,11814.4,11651,11796.45,3.00E+08,13822.83
26-Jun-19,11768.15,11871.85,11757.55,11847.55,3.28E+08,14650.89
27-Jun-19,11860.85,11911.15,11821.05,11841.55,4.80E+08,23300.3
28-Jun-19,11861.15,11871.7,11775.5,11788.85,3.04E+08,15191.9
1-Jul-19,11839.9,11884.65,11830.8,11865.6,2.78E+08,12874.96
2-Jul-19,11890.3,11917.45,11814.7,11910.3,3.63E+08,13615.94
3-Jul-19,11932.15,11945.2,11887.05,11916.75,3.41E+08,14290.33
4-Jul-19,11928.8,11969.25,11923.65,11946.75,3.34E+08,14758.87
5-Jul-19,11964.75,11981.75,11797.9,11811.15,5.31E+08,18871.99
8-Jul-19,11770.4,11771.9,11523.3,11558.6,4.64E+08,19146.25
9-Jul-19,11531.6,11582.55,11461,11555.9,4.43E+08,21577.95
10-Jul-19,11536.15,11593.7,11475.65,11498.9,3.38E+08,16098.53
11-Jul-19,11561.45,11599,11519.5,11582.9,3.17E+08,14586.2
12-Jul-19,11601.15,11639.55,11538.6,11552.5,3.59E+08,16947.57
15-Jul-19,11614.75,11618.4,11532.3,11588.35,3.69E+08,15835.99
